Model,CV R² (mean),CV R² (std),Train MAE,Train RMSE,Training Time (s)
Ridge Regression,0.851384177318723,0.0012423317919606528,150.42207319159002,572.7713569428518,0.14368414878845215
Lasso Regression,0.8502385859979886,0.013673482105940658,147.7918090120941,575.3929191957885,3.284301519393921
Random Forest,0.8314499053456634,0.013933972955975015,85.23389722857596,370.0580427983076,555.8901789188385
Gradient Boosting,0.8385798353649561,0.013378345990240948,112.90830662202409,473.508679527601,638.8445663452148
XGBoost,0.842817895888804,0.012141343700983522,111.80770443351746,472.298121939546,8.00227427482605
LightGBM,0.8463130397407633,0.012582567291732892,118.66995048650423,517.4160831953213,9.411421060562134
